Article;Brand;Width;Height;Speed;Rim;Loadindex;Pattern;Spec;PR/RF;Demo;Dot;Extra;Quality;Vehicle;Stock;Price;Discount;EAN;IPCODE;Fuel;Wet;Noise;Decibel;C Class;URL_Pattern;Per parcel;RFT;Eprel_code;Eprel_RR;Eprel_Wet;Eprel_Noise;Eprel_decibel;Eprel_severe_snow;Eprel_Ice_Tyre
AF101;ATLAS FS ALL;155;80;TR;13;79T;GREEN 4S;;;;;;All Season;Passenger car;50;34.13;0;"5420068652259";AF101;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520388;D;D;B;69;1;0
AF102;ATLAS FS ALL;155;70;TR;13;75T;GREEN 4S;;;;;;All Season;Passenger car;50;32.50;0;"5420068652266";AF102;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520389;D;D;B;69;1;0
AF103;ATLAS FS ALL;165;70;TR;13;79T;GREEN 4S;;;;;;All Season;Passenger car;50;33.08;0;"5420068652273";AF103;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520390;D;D;B;69;1;0
AF104;ATLAS FS ALL;165;70;TR;14;81T;GREEN 4S;;;;;;All Season;Passenger car;50;34.60;0;"5420068652280";AF104;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520391;D;D;B;69;1;0
AF106;ATLAS FS ALL;175;70;TR;14;88T;GREEN 4S;;XL;;;;All Season;Passenger car;31;37.28;0;"5420068652303";AF106;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520393;D;D;B;69;1;0
AF107;ATLAS FS ALL;155;65;TR;14;75T;GREEN 4S;;;;;;All Season;Passenger car;50;33.55;0;"5420068652310";AF107;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520394;D;D;B;69;1;0
AF108;ATLAS FS ALL;165;65;TR;14;79T;GREEN 4S;;;;;;All Season;Passenger car;50;34.60;0;"5420068652327";AF108;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520395;D;D;B;69;1;0
AF109;ATLAS FS ALL;175;65;TR;14;82T;GREEN 4S;;;;;;All Season;Passenger car;50;36.70;0;"5420068652334";AF109;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520396;D;D;B;69;1;0
AF110;ATLAS FS ALL;175;65;HR;15;84H;GREEN 4S;;;;;;All Season;Passenger car;50;37.75;0;"5420068652341";AF110;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520397;D;D;B;69;1;0
AF111;ATLAS FS ALL;185;65;TR;15;92T;GREEN 4S;;XL;;;;All Season;Passenger car;50;38.80;0;"5420068652358";AF111;E;E;2;69;C1;https://extras.tyre-energy.de/pic_11897g.jpg;2;0;520398;D;D;B;69;1;0
